start	end	text
195340	197220	mais je ne voudrais pas
197220	197880	je ne voulais pas
197880	198260	parce que
198260	199580	il ne s'est pas non plus du 100%
199580	200280	bon là le gars
200280	201620	sur les deux d'avant
201620	203040	c'était du 100%
203040	205040	mais qu'il a dit
205040	205960	qu'il s'effondre
205960	207780	en direct
207780	210260	donc oui
210260	210940	Edouard Philippe
210940	212360	sinon je vois qu'il y a une percée
212360	213900	de monsieur Laruf
213900	215860	oui mais alors
215860	217200	les percées d'extrême gauche
217200	217840	on sait ce que c'est
217840	218980	non mais qui tente
218980	220980	qui tente un truc
220980	221600	que Roussel
221600	223540	moi je pense que c'est un move
223540	224620	que la gauche doit faire
224620	225320	depuis le début
225320	226900	un move stratégique
226900	227400	qui est
227400	229080	arrêter de péter les couilles
229080	230840	avec le wokisme
230840	231640	je ne parle pas pour moi
231640	232020	je parle
232020	233000	on est en pure stratégie
233000	233260	d'accord
233260	233740	on est vraiment
233740	235100	moi je pense que
235100	237140	la stratégie que Mélenchon avait
237140	238340	il y a deux élections
238340	239060	donc 2012
239060	240300	de en gros
240300	241400	être vraiment à gauche
241400	241980	socialement
241980	243980	mais de beauté en touche
243980	244880	sur tous les sujets
244880	246980	type minorité LGBT
246980	248660	c'était le meilleur truc
248660	250060	pour gagner les élections
250060	250640	c'est à dire quand même
250640	251400	avoir des gens de droite
251400	251940	avec toi
251940	253440	en se réconciliant
253440	254180	sur un bloc
254180	255900	un peu la ligne Roussel quoi
255900	257080	ouais non mais
257080	258020	ouais sauf que Roussel
258020	258760	il va carrément
258760	259360	contre ça
259360	260460	parce que lui carrément
260460	261060	il va
261060	261340	tu vois
261340	262480	il y a beauté en touche
262480	263500	et carrément dire des trucs
263500	264300	de droite sur les sujets
264300	264880	Roussel
264880	265740	bon voilà
265740	266780	c'est vraiment un vieux réac
266780	267420	en fait
267420	268980	transformer Mélenchon
268980	269860	sa technique
269860	271000	si on le poussait un peu
271000	271500	on savait que c'était
271500	271920	un peu vieux
271920	272600	voilà
272600	273500	mais
273500	274980	mais Ruffin
274980	275780	son truc là
275780	276940	c'est de beauté en touche
276940	277980	et les gens
277980	279020	et ben
279020	279760	enfin voilà
279760	280520	et comme d'hab
280520	281840	enfin c'est ça la stratégie
281840	282400	donc moi je pense
282400	282900	qu'ils vont le
282900	284600	on peut se retrouver
284600	285040	avec M.T.
285040	286320	tu crois à Ruffin
286320	287200	j'ai lu
287200	288100	en fait j'y croyais pas
288100	288880	enfin en candidat de la gauche
288880	289480	mais j'ai vu
289480	290020	en président
290020	291140	j'ai vu une grosse
291140	292500	en président par contre
292500	293060	c'est sûr que
293060	294380	c'est le problème en fait
294380	295760	c'est que du coup
295760	296740	le gars
296740	298360	va s'attirer une sympathie
298360	298940	à la poutou
298940	299800	mais clairement
299800	300660	si on a un gars
300660	302260	sorte de mélange
302260	303460	de François Cluzet
303460	304020	et de
304020	305560	et de
305560	306740	enfin il a
306740	307800	zéro charisme
307800	308440	présidentiel
308440	309040	c'est sûr
309040	310480	si on l'imagine
310480	311100	dans le costume
311100	312480	mais c'est le problème
312480	312920	alors après
312920	314320	tu parlais de Stroskan
314320	315580	quand Hollande débarque
315580	316600	à la rescousse
316600	318040	personne ne croit en lui
318040	318280	tu vois
318280	319700	c'est un bonhomme
319700	320660	et qu'est-ce qui s'est passé
320660	321420	et qu'est-ce qui s'est passé
321420	322260	il était nul
322260	323320	il a été
323320	323780	il a été nul
323780	324840	mais il a été élu
324840	326040	oui il a été élu
326040	326900	parce qu'à ce moment-là
326900	327840	après 10 ans
327840	329780	de 15 ans de droite
329780	331020	c'était hyper dur quoi
331020	331860	c'était hyper dur
331860	332420	de pas être élu
332420	334120	mais typiquement
334120	334880	on pourrait dire
334880	335300	la même chose
335300	336420	on va se faire 10 ans
336420	336620	de
336620	338320	10 ans de Macronie
338320	339980	pour éclérer une alternance
339980	340200	tu vois
340200	341040	ouais moi j'aime bien
341040	341560	j'aime bien
341560	342160	ouais c'est pas
342160	343400	c'est plutôt sympa
343400	343700	en ce moment
343700	345320	mais il y a eu une alternance
345320	345920	en vrai
345920	346920	parce qu'on a eu
346920	348080	une UMP dure
348080	348780	et maintenant
348780	349580	une UMP plus
349580	349980	enfin tu vois
349980	350920	franchement
350920	351920	je vois pas trop la diff
351920	352940	si on s'était tapé
352940	354200	un Hollande vraiment dur
354200	355340	et un Sarkozy vraiment dur
355340	356680	il représente vraiment
356680	357720	l'UMPS quoi
357720	359120	il avait ce truc quoi
359120	360120	un peu de la merde
360120	360680	un peu le
360680	361360	un peu plus
361360	362800	oui il en vient
362800	363920	mais quand même
363920	364940	la balance penche quand même
364940	365740	un peu plus d'un côté
365740	366280	que de l'autre
366280	367460	oui mais parce qu'il est
367460	367920	il est
367920	368660	il est
368660	370620	il est
370620	372140	il est beau joueur
372140	372720	voilà
372720	373700	par contre
373700	374640	il est beau joueur
374640	375420	non le problème
375420	375900	il est beau joueur
375900	376760	oui il est beau joueur
376760	377700	il aime bien montrer
377700	378260	il veut
378260	379660	il joue au casino
379660	381260	vous trouvez ça beau joueur
381260	382180	il est beau joueur
382180	382780	il est beau joueur
382780	383320	parce qu'en fait
383320	384500	il joue au jeu de
384500	386240	j'emmerde les gens
386240	387720	et il veut voir
387720	388560	jusqu'où ça peut aller
388560	389520	jusqu'où ça peut passer
389520	390280	quoi cette histoire
390280	390800	à mon avis
390800	392000	il joue avec d'autres gars puissants
392000	392340	en mode
392340	393360	je peux
393360	394980	monter un peu le curse
394980	395560	parce que là
395560	397420	ils ont peut-être une arène de jeu
397420	398320	une sorte de truc
398320	398580	ouais
398580	399680	de puissant
399680	400800	dans le jeu de rôle
400800	402040	dans le risque géant
402040	403140	que les puissants font
403140	404380	quand le gars a commencé
404380	405620	la partie par
405620	407260	je suis inconnu
407260	408720	je suis un banquier Rothschild
408720	410080	je me fais passer de gauche
410080	411280	et après
411280	412840	pendant 10 ans
412840	413640	j'applique le programme
413640	414040	et tu sais en fait
414040	414960	ils jouent et puis ils en ont marre
414960	415560	parce qu'il y en a
415560	416700	c'est comme quand tu joues au poker
416700	417380	t'as toujours un pote
417380	418160	qui fait all-in
418160	419300	dans toute partie
419300	420320	là c'est Poutine
420320	420760	Poutine
420760	423040	on avait dit
423040	424060	on envahit pas un pays
424060	424840	au premier tour
424840	425620	c'est pas possible
425620	426360	ouais mais lui
426360	427500	il peut montrer qu'il veut
427500	428940	et du coup il a en face
428940	430100	Macron le coquet
430100	431220	qui dit ouais
431220	432380	mais moi je peux jouer
432380	433320	la partie de
433320	434580	j'applique le programme
434580	435240	de l'extrême droite
435240	435820	Macron le banquier
435820	437380	le banquier coquet
437380	438100	Macron
438100	438800	Macron
438800	441340	non mais
441340	441980	c'est quand même
441980	442720	une partie folle
442720	443960	j'applique le programme
443960	444720	de l'extrême droite
444720	446300	tout en la combattant
446300	447960	et je suis un banquier Rothschild
447960	449000	qui me présente à gauche
449000	449540	franchement
449540	450160	à risque
450160	450600	il est fort
450600	451200	non non mais c'est très
451200	451800	non mais c'est un peu
451800	453080	une belote coinchée
453080	454580	avec les annonces
454580	455200	où t'annonces
455200	456280	un truc de malade
456280	456580	quand même
456580	457160	tout le monde lui dit
457160	458080	mais tu n'y arriveras jamais
458080	458540	et il dit
458540	459360	bah watch me
459360	459760	bah tiens
459760	460820	regarde bien
460820	461660	allez c'est fini
461660	462860	c'était la parentise politique
462860	463260	maintenant
463260	464040	voilà
464040	464600	comme ça c'est
464600	465820	parce qu'on le fait toujours au milieu
465820	466240	comme ça c'est
466240	467040	maintenant générique
467040	468080	et bah c'est parti
468080	468560	3
468560	469300	4
469300	470320	plutôt
470320	471340	plutôt
471340	472120	plutôt claustique
472120	473080	plutôt
473080	474980	plutôt claustique
474980	475680	je suis gentil
475680	476080	je suis gentil
476080	476860	mais méchant
476860	479080	on est plutôt claustique
479080	480820	j'en ai rien à foutre du décalage
480820	482340	c'est vrai que la dernière fois
482340	482940	on a tenté
482940	483560	tu m'avais dit
483560	484320	il y a un décalage
484320	484700	je te disais
484700	485020	mais non
485020	485560	on l'entend pas
485560	487240	bon c'est vrai que le résultat
487240	487840	était odieux
487840	489220	et on a chanté
489220	489800	en décalé
489800	490520	tout le long
490520	491800	c'était pas beau du tout
491800	493820	donc désolé aux auditeurs
493820	495520	ça ne se reproduira
495520	496300	enfin je sais pas
496300	497760	tu crois qu'on était ensemble ?
497760	498360	ça se reproduira
498360	499960	ça se reproduira énormément
499960	500560	et oui oui
500560	502020	on n'était pas ensemble
502020	503140	alors comment vous avez fêté
503140	504560	la fête de la musique hier ?
505560	506860	alors j'ai bien fermé les volets
506860	507920	j'ai bien pensé à les fermer
507920	508720	à 18h
508720	512400	j'ai bien pensé à tout barricader
512400	517080	et à mettre ma propre musique chez moi
517080	518520	et toi ?
518520	519980	eh bien moi j'adore la musique
519980	521320	c'est pour ça que je ne vais pas
521320	522180	à la fête de la musique
522180	523480	et je...
523480	524180	non non moi
524180	526400	ma femme a décidé de faire un petit tour
526400	526920	ça faisait longtemps
526920	527920	qu'elle n'était pas en France
527920	529180	et comme d'hab
529180	530960	c'est la spécialiste de...
530960	532560	choisir les pires endroits
532560	534780	oui parce qu'elle a toujours
534780	536520	cette confiance en la France
536520	537060	en mode
537060	538040	mais si ça va être sympa
538040	540660	et là elle m'a fait faire un tour
540660	542620	bon elle a carrément choisi
542620	544740	parce que c'était en haut des listes
544740	547660	l'ambassade suédoise
547660	548480	ou un truc comme ça
548480	549300	oui je vois
549300	551000	pour faire le Midsommar
551000	554240	c'est relativement sympa
554240	556840	oui mais on n'est pas...
556840	557540	c'est plus prometteur
557540	559040	qu'une fanfare sur les quais
559040	561340	ça ressemblait juste à une...
561340	562500	déjà alors déjà drôle
562500	563800	c'est sponsorisé par Ikea
563800	565520	donc énorme cliché
565520	567420	on arrive
567420	568260	il y a effectivement
568260	570700	bon le peuple suédois est beau
570700	571660	et par peuple suédois
571660	572460	je parle des femmes
572460	574460	il y a quand même quelques traits
574460	576360	les hommes sont pas dégueulasses non plus
576360	576900	oui je sais
576900	578020	mais c'est pas mon type d'homme moi
578020	579220	si je devais me taper un homme
579220	580220	ce serait pas un blond
580220	581020	je sais pas
581020	582540	ce serait pas un grand blond costaud toi
582540	584140	non je suis pas blond moi
584140	585360	si en...
585360	585980	je suis pas...
585980	586500	attention hein
586500	587500	j'ai pas dit que...
588220	590780	mais tout en ayant...
590780	591500	tout en...
591500	592480	bon on est touché
592480	593480	je sais pas on est quand même...
593480	593620	voilà
593620	595840	on garde le gigot pour maman
595840	598240	je...
598240	599640	mon type d'homme est très pressé
599640	602980	et ce n'est pas un grand blond
602980	603900	mais attention
603900	605100	je ne suis pas...
605100	606780	je ne dis pas que je...
606780	607880	je t'ai rappelé
607880	609020	tu peux creuser un peu
609020	611880	il...
611880	612640	il...
612640	613000	il...
613000	613460	et alors
613460	615640	il...
615640	616140	il...
616140	617500	ça sera un mélange entre toi et moi
617500	618380	je ne sais pas comment expliquer
618380	619380	c'est très malsain
619380	620060	c'est très malsain
620060	621400	ce sera notre enfant
621400	622620	ce serait notre enfant
622620	623260	si tu veux
623260	624460	ok et bah fin du segment
624460	625300	ton type d'homme
625300	626220	c'est notre enfant
626220	626920	je pense
626920	627140	alors
627140	627800	en vrai
627800	628380	en vrai
628380	631220	toi t'es un peu trop maigrisson
631220	633080	est un peu trop grand
633080	634440	je comprends
634440	634780	voilà
634780	635460	et...
635460	636160	attention maintenant
636160	637460	j'approche les 90 kilos
637460	638000	mon vieux
638000	638860	c'est vrai que vous
638860	640960	vous êtes en train de devenir costaud
640960	641700	mais vous êtes quand même...
641700	642780	mais du coup tu prendrais un petit brin
642780	644420	enfin un brin de 1m80
644420	645100	voilà
645100	646260	non moi je fais 1m80
646260	647280	toi tu fais 1m90
647280	648720	donc 1m85
648720	649140	ok
649140	650480	plutôt 1m85
650480	651220	et...
652220	653280	ouais t'as besoin
653280	654160	qu'il soit plus grand que toi
654160	656460	oui bah pour...
656460	657340	et qu'il fasse de la moto
657340	658660	pour que j'ai...
658660	659760	pour que ses grands bras
659760	661080	m'enlasse
661080	662620	quand j'écoute du Patricia Kers
662620	663720	mais...
663720	664240	mais à part ça
664240	665660	j'y ai pas beaucoup pensé non plus quoi
665660	666040	d'accord
666040	666720	mais en vrai non
666720	667440	il serait brun
667440	668760	il serait caucasien
668760	669620	je le crains
669620	670240	je le crains
670240	671320	je...
671320	673300	non bah c'est tes goûts mon vieux
673300	674160	non je suis toujours
674160	675060	white supremabit
675060	677060	que ça soit d'un côté
677060	678300	ou de l'autre
678300	679520	je...
679520	680260	et c'est triste
680260	681420	mais ma tub est raciste
681420	681880	c'est comme ça
681880	683480	je suis plus attiré par les...
683480	685300	t'en as parlé de ça sur scène ?
685300	687220	j'ai jamais osé le dire quoi
687220	688300	mais...
688300	689740	mais c'est...
689740	691480	c'est clair que...
691480	692160	alors excuse-moi
692160	693600	il est 13h12
693600	694920	à l'enregistrement
694920	695460	je t'interromps
695460	697100	le sous-marin
697100	699020	n'a officiellement
699020	700460	plus d'oxygène
700460	702400	euh...
702400	703280	10 secondes de silence
703280	705460	pour les disparus du sous-marin
705460	707880	je vais me foutre de leur galop
707880	709680	je pense qu'on va passer directement
709680	711920	je pense que je vais passer directement
711920	712960	à la section
712960	713900	j'aurais pas du rire
713900	715820	et qui est costaud
715820	716560	et qui est costaud
716560	717380	j'aurais pas dû faire de blague
717380	718040	ouais mais en même temps
718040	718680	ça fait 4 jours
718680	719560	qu'on doit pas faire de blague
719560	720280	c'est dur quand même
720280	722120	non mais euh...
722120	723680	bon on a pas fait de blague
723680	724300	sur les...
724300	724700	non non mais
724700	726380	non mais c'est juste l'ironie du truc
726380	727300	ça va rajouter
727300	729580	t'imagines ce que ça va rajouter au Titanic ?
729580	731680	l'ampleur du truc quoi ?
731680	733460	mais tout est incroyable dans cette histoire
733460	734300	mais du coup là...
734300	735800	t'as vu son beau-fils
735800	737060	qui était à un concert de Blink
737060	738940	et qui tweet pendant le concert
738940	739360	en disant
739360	741260	ok mon beau-père est dans le sous-marin
741260	743440	mais je pouvais pas rater un concert de Blink
743440	746160	et les mecs qui n'ont pas de hublot
746160	747180	donc tout ce qu'ils voient
747180	747900	c'est un petit écran
747900	749300	avec une manette de Playstation
749300	750220	enfin tout est incroyable
750220	751240	mais donc là en fait
751240	752080	j'avais pas tout suivi
752080	754040	les gens n'étaient pas encore morts ?
754040	755440	on n'en sait rien
755440	756560	ça se trouve il y a eu un accident
756560	757560	ils sont morts depuis 3 jours
757560	759340	mais s'ils sont perdus
759340	760780	et qu'ils sont perdus
760780	761960	genre moteur en panne
761960	762620	au fond de la mer
762620	765040	ils avaient 96 heures d'oxygène
765040	766560	et c'est terminé
766560	767560	depuis 2 minutes
767560	768920	je t'imagines
768920	773060	que t'as seul pensé
773060	773980	dans ce putain de sous-marin
773980	774500	en train de crever
774500	774740	c'est
774740	777000	j'étais ah mais le Titanic quoi !
777000	777920	je savais !
777920	778760	je savais !
778760	779920	mais l'ironie du truc !
779920	782040	qu'est-ce que tu fais toi ?
782040	783340	le truc tombe au fond de la mer
783340	785000	t'as 96 heures d'oxygène
785000	789100	vous êtes 4 dudes d'âge différent
789100	790140	non mais Clément
790140	791060	Clément
791060	792420	toi tu te branles non ?
792420	793240	direct ?
793240	793700	non non mais
793700	794440	je vais me branler
794440	795200	c'est pas la question
795200	797820	mais je prends
797820	799280	parce que si je suis dans cette situation
799280	799920	quelqu'un
799920	801340	t'as obligé
801340	802060	m'a obligé
802060	803880	ou m'a convaincu
803880	804460	et je lui ai dit
804460	805360	c'est quand même le Titanic
805360	805920	c'est très con
805920	807320	et donc cette personne
807320	809160	je la tabasse à mort
809160	810400	elle est morte
810400	811000	c'est genre
811000	811660	il y a déjà un mort
811660	813260	on va pas se poser de questions
813260	814280	de qui on mange en premier
814280	815320	on mange en premier
815320	815880	dans ces cas-là
815880	817080	il y a plus d'oxygène
817080	817960	si t'as tué une personne
817960	819620	vous allez pousser jusqu'à 100
819620	821660	et je demande à tous les gens
821660	822340	parce que je vais
822340	823840	je vais reconnaître les yeux
823840	824880	de tous les gens
824880	826420	qui sont la personne
826420	827060	de ce groupe-là
827060	828360	et on va se regarder
828360	829300	et à un moment
829300	829840	je vais dire
829840	830400	go
830400	831260	et chacun
831260	832460	va tuer
832460	833500	la personne
833500	834040	qu'il a déjà
834040	834500	donc déjà
834500	834840	on va se faire
834840	835480	une moitié de place
835480	835880	tranquille
835880	836500	après on restera
836500	838440	entre cynicos
838440	839440	mais on aura fait
839440	839860	un bon truc
839860	840480	on aura tué
840480	840760	les cons
840760	841460	qui nous ont emmenés là
841460	842280	après
842280	843200	donc déjà
843200	843640	on va se gagner
843640	844180	un peu de temps
844180	844880	ouais
844880	845980	et après
845980	847380	tu viens de doubler
847380	848660	les réserves
848660	850720	bah j'espère
850720	852300	et après
852300	852640	putain
852640	853100	on remonte
853100	853760	c'est un sous-marin
853760	854680	tu sors dehors
854680	855440	et tu remontes
855440	855720	en fait
855720	856080	tu fais
856080	857800	avec ton nez
857800	858360	et c'est connu
858360	859260	qu'est-ce qui nous emmerde
859260	860880	ils sont complètement cons
860880	861220	ces gens
861220	863260	la surface
863260	863840	tu remontes
863840	864160	tu sais
864160	865160	tu peux pas ouvrir
865160	867100	la petite trappe
867100	867680	non mais sérieux
867680	868060	c'est pour ça
868060	868780	qu'ils peuvent pas remonter
868780	869760	mais non mais ils sont
869760	870260	trop profonds
870260	871100	ils sont à combien
871100	871980	ils sont à combien
871980	872660	ils sont à combien
872660	873660	à priori ils doivent être au fond
873660	875900	mais ne m'engueulez pas
875900	876460	ils sont au fond
876460	876880	c'est tout
876880	877440	ils sont coincés
877440	878240	mais c'est quoi le fond
878240	879000	c'est quoi le fond
879000	880040	c'est quoi le fond
880040	881400	bah c'est du sable
881400	881800	vous avez
881800	883080	quand le brevet nage
883080	883680	vous avez passé
883680	884760	moi j'avais fait 400 mètres
884760	885500	quand vous étiez jeune
885500	886060	ouais ouais
886060	886720	bon voilà
886720	887460	c'était pas beaucoup
887460	888420	mais pour un voilà
888420	889020	non c'est pas mal
889020	889540	c'est pas mal
891220	892340	ils sont à combien
892340	894040	ils sont pas à une borne
894040	894800	ils sont dans de l'eau
894800	895480	non bah si si
895480	896560	ils sont dans de l'eau glacée
896560	898200	et a priori en panne
898200	898940	s'ils sont en panne
898940	899660	ils doivent être tout au fond
899660	900600	donc non non
900600	901080	impossible
901080	902440	tu penses bien que sinon
902440	903320	ils auraient pris un tuba
903320	904140	plutôt qu'un sous-marin
904140	904700	pour aller voir
904700	906180	mais non
906180	906560	écoute
906560	907660	moi ce que je me demande
907660	908040	moi je dis
908040	909540	trois masques
909540	910340	est-ce que tu joues
910340	911360	est-ce que tu pleures
911360	912920	tu dois faire deux trois crises
912920	913360	de panique
913360	913720	mais après
913720	914640	pardon je persiste
914640	915280	mais je pense bien
915280	915860	il y a une cale
915860	917520	avec trois quatre casques
917520	918220	tu sais
918220	919420	les masques des calcels
919420	920340	bon pour les gens
920340	921340	qu'on débarbe c'est un problème
921340	922120	mais avec ça
922120	922980	on remonte tranquille
922980	923380	à la surface
923380	925240	c'est vrai
925240	925780	quand t'as une barbe
925780	926100	c'est chiant
926100	927380	mais d'accord
927380	928000	donc pour toi
928000	928720	ce que tu ferais
928720	929820	c'est remonter à la surface
929820	930800	c'est con que
930800	931480	ouais
931480	932500	arrêtez
932500	933500	arrêtez de péter les couilles
933500	935500	ouais je pense qu'ils n'y ont pas pensé
935500	935820	dommage
935820	936820	non je
936820	938560	bah la panique serait totale
938560	939860	ouais
939860	941720	peut-être que je me suicide
941720	942740	je sais pas comment
942740	943040	mais
943040	944680	on attend
944680	945320	mais effectivement
945320	945940	donc en fait
945940	946940	ils sont niqués de tous les côtés
946940	947260	c'est à dire
947260	948520	mais c'est à dire que là
948520	949780	enfin
949780	951540	on n'a aucune idée de la panne en fait
951540	952120	c'est bizarre
952120	953360	non c'est rien
953360	954160	ils ont disparu
954160	955600	ah ouais
955600	956140	c'est
956140	957060	t'as mais c'est le
957060	958200	ouais
958200	958840	et
958840	961100	hier ils ont entendu
961100	961900	des petits bruits
961900	964240	les radars ont entendu des petits bruits
964240	965000	mais personne ne sait
965000	965320	si ça
965320	966300	mais tu te rends compte
966300	967220	que ça va relancer
967220	968880	les pistes
968880	970040	extraterrestres
970040	970840	enfin tu vois
970840	971580	le nombre de cons
971580	972460	qui vont nous faire chier
972460	973820	si c'était dans le triangle
973820	974340	des Bermudes
974340	974540	oui
974540	975640	là j'avoue que le Titanic
975640	976700	on sait pourquoi il a coulé
976700	978260	et puis eux
978260	979580	ils ont une panne quoi
979580	982320	mais est-ce qu'on sait vraiment ?
982320	983160	oh l'iceberg
983160	984340	venait de la Terre
984340	984800	a priori
984800	985720	oui mais bon
985720	986640	alors il y a un iceberg
986640	987580	pile au même endroit
987580	988300	il y a
988300	989420	est-ce qu'il se
989420	990820	je sais pas
990820	991760	en tout cas
991760	992520	t'es d'accord
992520	993320	qu'il y aura du complot ?
993320	994280	c'est pas si facile
994280	996020	écoute j'ai cherché
996020	997700	avant l'enregistrement
997700	999840	des théories du complot
999840	1000660	parce qu'il y en a vraiment
1000660	1001920	pour chaque actualité
1001920	1002560	et là j'avoue
1002560	1003540	que j'ai pas vraiment trouvé
1003540	1003760	de
1003760	1005800	combien de
1005800	1006640	muertos ?
1006700	1008440	de muertos ?
1008440	1009620	de muertos ?
1009620	1010880	des muertos ?
1010880	1010900	des muertos ?
1010900	1011440	des milliards d'os
1011440	1012460	je dirais 4
1012460	1014820	ils sont que 4 ?
1014820	1015460	je crois ouais
1015460	1017120	et c'est que des gars blindés
1017120	1018960	c'est un truc de gars super riche
1018960	1020020	je crois que c'est 3 gars blindés
1020020	1021340	et leur guide
1021340	1022500	ah bah
1022500	1023180	petite pense
1023180	1024220	franchement
1024220	1025640	non mais toi ton
1025640	1027680	ton échelle de compassion
1027680	1029240	elle a combien là ?
1029240	1030300	elle est peu élevée
1030300	1031160	c'est peu ?
1031160	1031760	en fait
1031760	1033000	c'est un drame
1033000	1033760	c'est tragique
1033760	1034400	et voilà
1034400	1036820	il y a plus de 500 mecs
1036820	1037680	qui étaient sur un bateau
1037680	1038740	en Grèce la semaine dernière
1038740	1039700	on n'a pas encore retrouvé
1039700	1040180	tous les corps
1040180	1040860	et il y avait des enfants
1040860	1043120	donc je suis un peu
1043120	1044280	insensibilisé
1044280	1044820	tu vois
1044820	1046240	en vrai c'est vrai que
1046240	1048580	bon alors c'est le meilleur racisme
1048580	1049940	mais c'est vrai qu'il y a un vrai racisme
1049940	1051620	quand un milliardaire meurt
1051620	1053380	on est jamais triste en fait
1053380	1054180	mais c'est pas tant
1054180	1054760	ouais alors
1054760	1056260	c'est pas tant sa thune en plus
